species,population,plant_height_cm,corolla_area_mm2,spur_length_mm,first_flower_day,flowers,fruits,mean_fruit_mass_mg
densiflora,graborg_d,21.9,78.2217,15.63,190,33,16,4.6066666669999998
densiflora,graborg_d,32.4,98.1002,15.07,188,42,34,6.4666666670000001
densiflora,graborg_d,30.5,140.4117,14.61,187,30,21,5.8
densiflora,graborg_d,25.1,71.613,14.39,192,31,17,4.415
densiflora,graborg_d,29.2,110.716,13.43,187,52,51,7.0633333330000001
densiflora,graborg_d,28.2,125.5968,16.74,188,32,27,7.6066666669999998
densiflora,graborg_d,15.3,80.9578,12.36,188,47,20,2.6775000000000002
densiflora,graborg_d,21.9,87.7896,17.19,189,21,16,8.5133333330000003
densiflora,graborg_d,20.1,90.6612,14.79,189,36,23,4.1633333329999997
densiflora,graborg_d,21.9,106.3104,13.98,192,21,20,6.4733333330000002
densiflora,graborg_d,18.1,88.1532,14.49,189,35,21,2.233333333
densiflora,graborg_d,27.9,104.9237,14.88,191,39,24,9.2266666669999999
densiflora,graborg_d,30,96.558,13.11,189,38,31,9.5333333329999999
densiflora,graborg_d,20.9,126.1638,14.17,190,26,15,6.73
densiflora,graborg_d,24.5,105.0306,11.47,190,39,25,6.403333333
densiflora,graborg_d,24.8,120.3948,15.07,188,51,46,10.91333333
densiflora,graborg_d,34.3,134.568,15.94,189,56,46,10.436666669999999
densiflora,graborg_d,36.7,96.2689,14.37,191,62,52,8.93
densiflora,graborg_d,24.4,106.0488,14.84,189,36,29,4.7466666670000004
densiflora,graborg_d,22.8,89.6544,14.63,188,46,37,6.9666666670000001
densiflora,graborg_d,25.4,87.8625,12.86,191,42,40,9.6
densiflora,graborg_d,24.7,75.3182,15.86,188,51,50,5.62
densiflora,graborg_d,36.3,128.775,15.96,186,50,34,6.61
densiflora,graborg_d,16.1,89.57,16.21,196,15,12,4.2
densiflora,graborg_d,28.9,99.33,15.3,186,42,33,10.70333333
densiflora,graborg_d,19.7,104.5385,13.29,188,28,27,5.0666666669999998
densiflora,graborg_d,30.4,92.2528,12.19,185,45,39,5.4466666669999997
densiflora,graborg_d,24.5,92.9745,13.52,190,47,33,8.33
densiflora,graborg_d,34.2,92.129,12.01,188,62,57,6.69
